"assetid","estimated_scope_1_emissions"
2650,1830.35778808594
2653,2518.0517578125
2654,31869.845703125
2657,87373.0546875
2658,47384.3703014514
2660,148.6
2663,107837.3671875
2668,31869.845703125
2670,45659
2671,19362.89453125
2673,332.724961028292
2676,28045.556640625
2677,2339.51440429688
2678,4812.35595703125
2679,333374005.516859
2680,213896.34375
2681,17149.06640625
2682,39569.32421875
2683,429350.21875
2684,49752
2686,266869.1875
2688,15836.3603515625
2692,8761.90386882998
2693,4594942.5
2695,12778.4026345146
2696,28536.849609375
2697,1599.58862304688
2699,51119.98828125
2700,5951.66455078125
2702,10138760
2703,447.768951416016
2705,35641.37890625
2706,5340.1398617961
2707,350008.173797237
2708,2561738.5
2709,5361.10302734375
2711,24466.0796506033
2714,115091.3515625
2720,29445.5143959494
2722,31016.9375
2723,44329.73046875
2724,163434.69476739
2725,3138319.23889812
2726,2938.02272666149
2727,529795.8125
2729,50211.2028173117
2730,723352.813561679
2734,631539.5
2737,13253352
2738,153000
2743,3319.92138671875
2744,5046177.26567476
2746,9984.7314453125
2748,13977.5947265625
2751,24128.056640625
2752,17657.955078125
2752,16646
2758,44603.14453125
2759,58517
2761,13072.1962890625
2766,104024.82495226
2768,20296
2770,146500.546875
2773,13837.9658203125
2776,1597000
2777,12447.9713114754
2780,3249.90087890625
2782,419000
2784,13841.0107421875
2786,20413864.0982593
2790,29817.169921875
2791,970016.6875
2794,7823.59018465668
2795,3112182
2797,12570.1435546875
2800,719538.875
2801,5798468.5
2801,7247667
2802,1748.94373054514
2803,12986
2804,791729.738951684
2805,2272794.75
2807,2231.3525390625
2809,298246
2810,1831.65377464171
2814,2354.06225240521
2817,1082.5234375
2819,15007.3388671875
2821,263718.75861887
2823,771679.9375
2823,2267800
2827,696746
2828,6291942.5
2829,218282.1875
2830,9771974
2832,3522268.5
2833,14396850.8479338
2836,359601.201858152
2844,7761079.18164322
2846,5930.13134765625
2847,12814796
2848,8379.0146484375
2850,29779.49609375
2852,1385
2854,5063.837890625
2860,2050450.49676926
2862,NULL
2865,10306734
2866,16404.1484375
2874,89197.6733083659
2876,6918196.94550087
2877,161873.217229289
2878,59310.3520140548
2881,8700000
2891,59912.7608695652
2902,1248129.75
2906,13774.080078125
2907,1438.01782226562
2908,16569.69140625
2909,4303.71728515625
2911,12925.63671875
2914,7121.8524
2920,2908467.22
2922,1607.24377441406
2926,31435.837890625
2928,14916
2929,3881662
2930,11683.65625
2931,6749046
2932,1923.95812988281
2933,2291681
2937,5594.40185546875
2941,114195
2943,60005.5
2944,939376.5625
2945,23000
2946,1522339
2947,57271.8203125
2948,104298.46875
2951,2490
2952,33386
2957,30671.833984375
2961,527173
2964,1939391.92380836
2966,5842.2958984375
2968,45639.7234431467
2968,24767.3203125
2969,2941.21
2970,16749
2973,1034805.5
2974,6023.10986328125
2976,50841.1796875
2981,741000
2986,145956.8125
2990,2963.98657226562
2991,960704.8125
2992,63862.421875
2993,26322.5
2995,18535.6389047347
2997,5744.9970703125
2997,1423.26382447378
3000,2676.12158203125
3001,223315
3003,3018534.29565418
3004,46600000
3005,124692.6875
3006,16085.841796875
3007,327712.5625
3008,12814646
3009,26554
3010,4166.0166015625
3011,28687.248046875
3012,55584.05859375
3013,12782494
3014,265383.6875
3015,3343.27416992188
3016,12814796
3017,61542008
3018,259078.828125
3019,2665.03979492188
3020,341239.40625
3021,11973.5712890625
3023,3860137.75
3024,10304362
3025,149989.15625
3026,55632.5390625
3029,2453560.75
3033,3592.52914340188
3035,984.886413574219
3037,39248.23046875
3038,58161.7565678281
3039,367674
3041,26000
3042,203930
3044,48164.80078125
3045,12555.30859375
3050,46884.1015625
3054,49921.69921875
3056,365397
3059,63589.42578125
3061,5498.55615234375
3067,4865784.5
3068,31801.23828125
3070,20337.421875
3071,96099.3210375564
3072,2285717.5
